"","X","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","sentiment","sentiment_2","category"
"1",11,"US",42925795,"R34KLL8U89EDIV","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","my new kindle","The only complaint I have about this kindle is that the camera takes &#34;grainy&#34; pictures. After trying everything to fix the problem the pictures are not good.","2015-08-31",1,-1,"Camera quality"
"2",16,"US",30532922,"R1AKNJIJ586BJ","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,1,1,"N","Y","Three Stars","Its a nice tablet but I was disappointed to see that they deliberately made using Chromecast impossible","2015-08-31",0,-1,"OTHER"
"3",17,"US",38564384,"RJ1E1QJHFRSAP","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Same sloppy OS same glitches still no flash compatability...","Still just as slow and glitchy as the first edition fire. Still not flash compatible which renders the browser useless. Freezes constantly, crap battery life and regularly occuring issues with loading the page you were on last.  Incredibly disappointing.","2015-08-31",0,-1,"Freezing"
"4",19,"US",42640645,"RLX9JP0AF8QL9","B00LCI2I7C",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Three Stars","Doesn't have as much space as I thought it has.","2015-08-31",0,-1,"Storage"
"5",25,"US",768594,"R1GXMSUUFVENK4","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,1,"N","Y","The unit came with NO directions of use of any ...","The unit came with NO directions of use of any kind.  Don't know how to use it.  Guess I will have to buy a kindle.","2015-08-31",0,-1,"OTHER"
"6",29,"US",53092087,"RISQLKYZ70X5Z","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Three Stars","Good value but the operating system is a little buggy. It periodically crashes and requires rebooting.","2015-08-31",0,-1,"Software bugs"
"7",30,"US",47562014,"R223GR8AVSH0AV","B00LCHS1FG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","More trouble that it's worth (prefer the older model Kindle Fire)","I find that is not as easy to use as my regular Kindle Fire.  When I am reading the kindle it freezes up (because you hold it on the side).  Also you have to get out of it to brighten or darken your text that you are reading.  Lastly, the advertisements that come up every time you turn the HD Kindle Fire on are annoying.","2015-08-31",0,-1,"Freezing"
"8",31,"US",44804726,"R36A36RBG7H4KH","B00LCHOCZY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Great quality...","Returned.  Prefer a more open android tablet.  As far as quality...it is Amazon and they never disappoint.  So, if you are a strict Amazonian - this tablet is for you.<br /><br />The 2 stars are personal choice, not quality.","2015-08-30",0,-1,"Price/Value"
"9",34,"US",34638758,"R1DTNPBG41YBYJ","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Three Stars","Can't personalize or connect with google.","2015-08-30",0,-1,"Google Play"
"10",48,"US",32097408,"R1M3RSOHPPPKOP","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","We have two kindle fires. The 7 and the ...","We have two kindle fires. The 7 and the 6. They will not connect to my WiFi and if I finally get them to connect it only lasts for a few minutes. I have tried everything to fix but nothing works. I will never buy another kindle fire... Amazon doesn't offer any help to fix the problem.","2015-08-30",0,-1,"WiFi connectivity"
"11",49,"US",40584038,"R2L1BIB8WU0GHY","B00LCI2I7C",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",2,0,0,"N","Y","Bad sounding speakers!","My old kindle was actually a better one.The speakers on this one stink.sound is distorted and fuzzy at best.It sounds as if the speakers were blown from the day I got it.it's a fourth generation and if I had to buy again I wouldn't.","2015-08-30",0,-1,"Build quality"
"12",53,"US",7096326,"RK8SS6CAJMT6R","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","One Star","Bad assemble, barely works.","2015-08-30",0,-1,"Build quality"
"13",55,"US",109329,"R3BW7RP9PISH4H","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","I like to use hard copy of instruction manuals but I ...","Cumbersome to use.  Ads pop up all the time.  Carousel hinders more than helps.  I like to use hard copy of instruction manuals but I cannot find a way to print one so ordered one.<br /><br />I think Amazon Prime is great.  The fire is an ok buy for the money.","2015-08-30",0,-1,"Ads"
"14",61,"US",22560229,"R3G2VF9JY5SPE9","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Three Stars","i returned item","2015-08-29",0,-1,"OTHER"
"15",63,"US",17391623,"R5QDPI4AM4FLS","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Not that great","Not that great. I bought for my granddaughters as a replacement and not big enough always saying delete out of room.Plus I thought it was all black like there old ones don't care for the white.","2015-08-29",0,-1,"Storage"
"16",65,"US",3646415,"R1EEBTSX6EWZTB","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",1,0,0,"N","Y","I paid 157. 00 after the price with shipping ...","I paid 157.00 after the price with shipping and it is already giving me problems and I have not even had the item for a week...the Kindle will not stop freezing and the screen keeps going black... I am started to think I received a refurbished item because I should not be having these problems with the device this soon","2015-08-29",0,-1,"Freezing"
"17",67,"US",2977087,"R2U7JV60EY1BV6","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",3,0,0,"N","Y","Reading books it's ok but not a great tablet for all of the choices available on other ...","Very limited number of apps. Reading books it's ok but not a great tablet for all of the choices available on other devices.","2015-08-29",0,-1,"OTHER"
