"","X","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","sentiment","sentiment_2","category"
"1",1,"US",11555559,"R1QXC7AHHJBQ3O","B00IKPX4GY",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Great love it","2015-08-31",1,1,"OTHER"
"2",2,"US",26843895,"R2HRFF78MWGY19","B00IKPW0UA",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Well thought out device","Excellent unit.  The versatility of this tablet, besides being competitively priced is a solution to the elderly.  Poor eyesight and physical disabilities associated with age and using the supporting add on features allows the user to stay in touch with our changing world.<br />A realistic add on keyboard that you can see and use.<br />I cannot wait to use my Fire HD7 to show computer created work sheets and class instructions to my students. (HMDI) Good by to copiers and reams of paper, Farwell to those costly printer inks!<br /><br />Oh yes I have much more to gain back.  Just takes a little effort to learn more, open a book and read.<br />Noel","2015-08-31",1,1,"OTHER"
"3",3,"US",1189852,"R3RL4C8YP2ZCJL","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","All Amazon products continue to meet my expectations","2015-08-31",1,1,"OTHER"
"4",4,"US",14239730,"R15B8KUCTZEIAZ","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Four Stars","Good product. I like it ðŸ˜€","2015-08-31",1,1,"OTHER"
"5",5,"US",44445848,"RH819AVFZQQJD","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Not a bad product. Simple. Works well. Nothing fancy.","This kindle works well but the battery goes dead more quickly than you'd expect. Really it is a version of the previous Kindle that weighs less. The internet browser works considerably better than the previous but still has issues loading certain websites. Pop-up ads are a challenge at times. Other than that it is about the same as the older version, a good product that serves its purpose well but I wouldn't rave about it.","2015-08-31",1,1,"Battery"
"6",6,"US",28328595,"R3AUPGXXHD3Y2K","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","I really enjoy my new kindle, it is easy to use and offers plenty of useful and entertaining activities","2015-08-31",1,1,"Ease"
"7",7,"US",13496210,"R39KKR7TWFHENK","B00LCHRQL6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",4,0,0,"N","Y","Everything works great, the menu system is awful","It's what I wanted and performs perfectly. Everything works great, the menu system is awful. I'd go 5 stars if the menu system were better.","2015-08-31",1,1,"Ease"
"8",8,"US",16092745,"R2TPJAFH6DBEEZ","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Like looks and","Made well. Like looks and style","2015-08-31",1,1,"OTHER"
"9",9,"US",17866289,"R31K70PZYKP456","B00IKPZ5V6",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Yes it met all of my needs 5 Stars","2015-08-31",1,1,"OTHER"
"10",10,"US",27958433,"R1Z362DKECOPMA","B00IKPYKWG",2693241,"Fire HD 7, 7"" HD Display, Wi-Fi, 8 GB","PC",5,0,0,"N","Y","Five Stars","Great product","2015-08-31",1,1,"OTHER"
